date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:10	10466/10466	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2013:13:36%20GMT	https://godwinausten.site/hs-fs/hubfs/Website%20Data/sign.png?width=820&height=200&name=sign.png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hubfs/Website%20Data/sign4658.png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:12	6130/6130	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2013:14:04%20GMT	https://godwinausten.site/hs-fs/hubfs/image.png?width=820&height=200&name=image.png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hubfs/image58c7.png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:16	46811/46811	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2011:09:17%20GMT	https://godwinausten.site/casestudies/ceo?hsLang=en	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/casestudies/ceoc6eb	(from https://godwinausten.site/casestudies/cleandrive)
16:09:16	680254/680254	---M--	200	added ('OK')	image/png	etag:%22a1d59a3477269ada708de63d30746b15%22	https://godwinausten.site/hubfs/raw_assets/public/theme-challenge%20copy/images/blue_lady_background_jobbies%20(1).png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hubfs/raw_assets/public/theme-challenge%20copy/images/blue_lady_background_jobbies%20(1).png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:16	23324/23324	---M--	200	added ('OK')	image/png	etag:%225e811b8cd2cb06da0d436c4d4a7523dd%22	https://godwinausten.site/hubfs/Screen%20Shot%202023-11-30%20at%201.29.50%20PM.png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hubfs/Screen%20Shot%202023-11-30%20at%201.29.50%20PM.png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:17	37608/37608	---M--	200	added ('OK')	image/png	etag:%224ac7f0e6d43c457e44b8ea9f2f8e7632%22	https://godwinausten.site/hubfs/Screen%20Shot%202023-11-30%20at%208.00.07%20PM.png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hubfs/Screen%20Shot%202023-11-30%20at%208.00.07%20PM.png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:17	23463/23463	---M--	200	added ('OK')	image/png	etag:%225b20a7c5e898ecaa42d81fc015aa05a0%22	https://godwinausten.site/hubfs/Screen%20Shot%202023-11-30%20at%201.10.15%20PM%20copy.png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hubfs/Screen%20Shot%202023-11-30%20at%201.10.15%20PM%20copy.png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:18	680254/680254	---M--	200	added ('OK')	image/png	etag:%22a1d59a3477269ada708de63d30746b15%22	https://395201.fs1.hubspotusercontent-na1.net/hubfs/395201/blue_lady_background_jobbies%20(1).png	C:/Users/Saad%20Naik/Downloads/case/395201.fs1.hubspotusercontent-na1.net/hubfs/395201/blue_lady_background_jobbies%20(1).png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:21	26532/26532	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Dec%202023%2009:40:04%20GMT	https://godwinausten.site/hs-fs/hubfs/Screen%20Shot%202023-12-02%20at%202.39.45%20PM.png?width=319&height=431&name=Screen%20Shot%202023-12-02%20at%202.39.45%20PM.png	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hubfs/Screen%20Shot%202023-12-02%20at%202.39.45%20PM2748.png	(from https://godwinausten.site/casestudies/cleandrive)
16:09:21	13698/13698	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a4474324e070674ecd017b9d44b9c99%22	https://static.hsappstatic.net/content-cwv-embed/static-1.840/embed.js	C:/Users/Saad%20Naik/Downloads/case/static.hsappstatic.net/content-cwv-embed/static-1.840/embed.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:22	89475/89475	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212b69d0ae6c6f0c42942ae6da2896e84%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722325/1697045151394/theme-challenge_copy/js/jquery-3.5.1.min.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722325/1697045151394/theme-challenge_copy/js/jquery-3.5.1.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:22	3073/3073	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f771a560ae4bc105ecae2861666243e6%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139736927755/1697045153642/theme-challenge_copy/js/main.min.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139736927755/1697045153642/theme-challenge_copy/js/main.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:22	139/139	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c2bca3b72d25d879a5f42819e8b6c7bf%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139719492430/1697043357025/theme-challenge_copy/child.min.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139719492430/1697043357025/theme-challenge_copy/child.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:22	3618/3618	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279edbd5c755a71e9d11da3fc9d97c3e6%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139719099550/1697045155019/theme-challenge_copy/js/init.min.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139719099550/1697045155019/theme-challenge_copy/js/init.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:23	1243/1243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ca66de658cab9587e4636894680d5d%22	https://godwinausten.site/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:23	894/894	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295f0cad1aa89038c4a61ecf9c5afa812%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139719097862/1697043943233/module_139719097862_Menu_Section.min.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139719097862/1697043943233/module_139719097862_Menu_Section.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:23	163/163	---MCZ	200	added ('OK')	application/javascript	etag:W/%223244d8353b6118d3bbaac2ec4f3a15c3%22	https://godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139718698325/1697043942813/module_139718698325_Hero_Section.min.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs-fs/hub/39930638/hub_generated/module_assets/139718698325/1697043942813/module_139718698325_Hero_Section.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:25	2539/2539	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20May%202024%2011:05:22%20GMT	https://godwinausten.site/hs/scriptloader/39930638.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs/scriptloader/39930638.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:25	12113/12113	---MCZ	200	added ('OK')	application/javascript	etag:W/%225885ac5129ee80f8b7e1e228e142587d%22	https://godwinausten.site/hs/hsstatic/HubspotToolsMenu/static-1.321/js/index.js	C:/Users/Saad%20Naik/Downloads/case/godwinausten.site/hs/hsstatic/HubspotToolsMenu/static-1.321/js/index.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20May%202024%2011:09:26%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.23.delayed	(from https://godwinausten.site/casestudies/cleandrive)
16:09:26	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://godwinausten.site/casestudies/cleandrive)
16:09:26	4178/4178	---M--	200	added ('OK')	image/gif	etag:W/%221052-ehqkNhQ5Y4K7FeX95XTZzc0haY8%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/ajax-loader.gif	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/ajax-loader.gif	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
16:09:26	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-Lf8HaPTApTIodh6rkX4sZVVgQtQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.eot	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.eot	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
16:09:26	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-Lf8HaPTApTIodh6rkX4sZVVgQtQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.eot?	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slickd41d.eot	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
16:09:27	1380/1380	---M--	200	added ('OK')	font/woff	etag:W/%22564-r5HBLw9Aak+AGus7OYdo/kHY+GQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.woff	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.woff	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
16:09:27	1892/1892	---MCZ	200	added ('OK')	font/ttf	etag:W/%22764-MzHuvdS6NI7yWr4Aw5/76GfUZXU%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.ttf	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.ttf	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
16:09:28	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22868-F/Y8b2ExOJRiuj2BS33fgzRHBfk%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.svg	C:/Users/Saad%20Naik/Downloads/case/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/fonts/slick.svg	(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
16:09:30	3807/3807	---M--	200	added ('OK')	image/png	etag:%22cb4818ca27fd7d01024e6bb1b96a5a36%22	https://6326501.fs1.hubspotusercontent-na1.net/hubfs/6326501/boilerplate/grayscale-mountain.png	C:/Users/Saad%20Naik/Downloads/case/6326501.fs1.hubspotusercontent-na1.net/hubfs/6326501/boilerplate/grayscale-mountain.png	(from https://godwinausten.site/hs-fs/hub/39930638/hub_generated/template_assets/139735722270/1697045124834/theme-challenge_copy/css/main.min.css)
16:09:31	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css)
